ques	voiS	voiA	post		walk	stbl	dual	pinc
ques	voiS		post	rest	walk	stbl	dual	pinc
ques	voiS	voiA	post			stbl		
ques		voiA	post	rest	walk	stbl	dual	pinc
ques	voiS	voiA	post	rest	walk	stbl		pinc
ques		voiA	post		walk	stbl	dual	pinc
ques		voiA	post	rest	walk	stbl		pinc
ques		voiA		rest	walk	stbl		
ques			post		walk	stbl	dual	
ques	voiS	voiA	post	rest		stbl		pinc
ques	voiS	voiA		rest	walk		dual	pinc
ques	voiS			rest	walk	stbl	dual	pinc
ques	voiS	voiA	post			stbl	dual	
ques		voiA		rest	walk	stbl	dual	pinc
ques	voiS	voiA			walk	stbl		pinc
ques	voiS		post		walk		dual	pinc
ques	voiS	voiA				stbl		pinc
ques	voiS	voiA	post		walk	stbl	dual	
ques	voiS	voiA	post	rest	walk	stbl	dual	pinc
ques	voiS	voiA	post	rest	walk		dual	pinc
ques	voiS	voiA	post	rest		stbl	dual	pinc
ques		voiA	post		walk	stbl	dual	
ques	voiS	voiA		rest	walk	stbl	dual	pinc
ques	voiS	voiA	post	rest	walk	stbl	dual	
ques	voiS	voiA			walk	stbl		
ques	voiS				walk	stbl		pinc
ques	voiS		post		walk	stbl		pinc
ques	voiS	voiA		rest		stbl		
ques		voiA			walk	stbl	dual	pinc
ques	voiS	voiA	post		walk		dual	pinc
ques	voiS	voiA	post	rest	walk	stbl		
ques	voiS	voiA		rest	walk	stbl	dual	
	voiS	voiA	post	rest	walk	stbl	dual	pinc
ques	voiS	voiA		rest			dual	pinc
ques	voiS	voiA		rest		stbl	dual	pinc
ques	voiS	voiA	post			stbl		pinc
ques		voiA			walk		dual	pinc
ques	voiS				walk		dual	pinc
ques	voiS					stbl		
ques	voiS	voiA				stbl	dual	pinc
ques		voiA		rest		stbl	dual	pinc
ques		voiA	post	rest		stbl		
ques	voiS		post		walk		dual	
ques	voiS		post	rest		stbl	dual	pinc
ques	voiS				walk	stbl	dual	pinc
ques	voiS		post		walk	stbl		
ques		voiA	post	rest		stbl	dual	pinc
ques		voiA	post	rest	walk			pinc
ques	voiS		post	rest	walk		dual	
ques	voiS		post	rest		stbl		pinc
		voiA	post	rest	walk	stbl	dual	pinc
ques	voiS	voiA	post		walk	stbl		pinc
ques		voiA		rest	walk	stbl		pinc
ques	voiS	voiA	post	rest	walk			
ques		voiA	post		walk	stbl		
ques	voiS	voiA			walk			pinc
ques	voiS	voiA		rest		stbl		pinc
	voiS	voiA	post		walk	stbl		pinc
ques	voiS	voiA					dual	pinc
ques	voiS	voiA	post	rest			dual	pinc
